python train.py --scenario simple_push --num-adversaries 1 --independent-learner True --lr_actor 0.005 --lr_critic 0.01 --lr_lamda 0.0001 --alpha 0.05 --independent-learner True
2018-10-28 00:08:14.497056: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
In MADDPGAgentTrainerIndepLearner
In MADDPGAgentTrainerIndepLearner
Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -25.964392467912425, agent episode reward: [1.544093315870503, -27.508485783782927], time: 18.021
Running avgs for agent 0: q_loss: 882.7432861328125, q_loss2: -666.3270263671875, p_loss: 0.9345744848251343, mean_rew: -0.28526095633919313, var_rew: 0.029240772128105164, lamda: 1.462026596069336
Running avgs for agent 1: q_loss: 9.710641860961914, q_loss2: -7.946622848510742, p_loss: 0.8678536415100098, mean_rew: -0.39724482595508265, var_rew: -0.02919028140604496, lamda: 1.4759800434112549
steps: 524975, episodes: 21000, mean episode reward: -16.520608420276833, agent episode reward: [-7.272810502623744, -9.24779791765309], time: 25.193
Running avgs for agent 0: q_loss: 1199.500732421875, q_loss2: -917.15185546875, p_loss: 0.7370534539222717, mean_rew: -0.28459387224917154, var_rew: -0.053180597722530365, lamda: 1.4870308637619019
Running avgs for agent 1: q_loss: 10.624222755432129, q_loss2: -8.84963321685791, p_loss: 0.7942053079605103, mean_rew: -0.395911933984428, var_rew: -0.01554033998399973, lamda: 1.5010141134262085
steps: 549975, episodes: 22000, mean episode reward: -17.326916349095576, agent episode reward: [-7.96677872484404, -9.360137624251538], time: 25.171
Running avgs for agent 0: q_loss: 1530.709228515625, q_loss2: -1251.051025390625, p_loss: 0.6055971384048462, mean_rew: -0.2859214755798508, var_rew: 0.026305878534913063, lamda: 1.5120350122451782
Running avgs for agent 1: q_loss: 6.977481365203857, q_loss2: -6.0979719161987305, p_loss: 0.7496525049209595, mean_rew: -0.39602715475404304, var_rew: -0.03520253300666809, lamda: 1.5260342359542847
steps: 574975, episodes: 23000, mean episode reward: -17.193834981867806, agent episode reward: [-7.968229260966026, -9.22560572090178], time: 25.357
Running avgs for agent 0: q_loss: 1687.4510498046875, q_loss2: -1265.3980712890625, p_loss: 0.5612102150917053, mean_rew: -0.2874052737411877, var_rew: 0.07012202590703964, lamda: 1.537039041519165
Running avgs for agent 1: q_loss: 7.1850666999816895, q_loss2: -5.964865207672119, p_loss: 0.7329621315002441, mean_rew: -0.39525762602067754, var_rew: -0.0157795287668705, lamda: 1.551038384437561
steps: 599975, episodes: 24000, mean episode reward: -19.062116344251947, agent episode reward: [-9.423925527539387, -9.638190816712559], time: 25.365
Running avgs for agent 0: q_loss: 2163.29296875, q_loss2: -1631.6412353515625, p_loss: 0.5773054361343384, mean_rew: -0.29059962347111756, var_rew: 0.009349990636110306, lamda: 1.5620431900024414
Running avgs for agent 1: q_loss: 8.528687477111816, q_loss2: -6.528803825378418, p_loss: 0.7691611051559448, mean_rew: -0.3938497392339131, var_rew: 0.007531317416578531, lamda: 1.5760425329208374
steps: 624975, episodes: 25000, mean episode reward: -18.351336762581653, agent episode reward: [-9.170019595669576, -9.181317166912082], time: 25.023
Running avgs for agent 0: q_loss: 3729.544677734375, q_loss2: -2863.919677734375, p_loss: 0.5718404054641724, mean_rew: -0.2950143317545155, var_rew: -0.033365655690431595, lamda: 1.5870473384857178
Running avgs for agent 1: q_loss: 11.757027626037598, q_loss2: -8.795652389526367, p_loss: 0.8393576741218567, mean_rew: -0.3922930191014543, var_rew: 0.012577606365084648, lamda: 1.6010466814041138
steps: 649975, episodes: 26000, mean episode reward: -18.55049160306945, agent episode reward: [-9.46145844138596, -9.089033161683492], time: 25.041
Running avgs for agent 0: q_loss: 4408.734375, q_loss2: -3417.584716796875, p_loss: 0.4475543200969696, mean_rew: -0.2974964776543306, var_rew: 0.08691192418336868, lamda: 1.6120514869689941
Running avgs for agent 1: q_loss: 7.223608493804932, q_loss2: -5.462057113647461, p_loss: 1.0065780878067017, mean_rew: -0.3905390836891144, var_rew: 0.013104028068482876, lamda: 1.6260508298873901
steps: 674975, episodes: 27000, mean episode reward: -18.94947878482799, agent episode reward: [-9.043729615608989, -9.905749169219], time: 25.534
Running avgs for agent 0: q_loss: 4989.58349609375, q_loss2: -3826.41162109375, p_loss: 0.38492852449417114, mean_rew: -0.30170321705243136, var_rew: -0.050792012363672256, lamda: 1.6370556354522705
Running avgs for agent 1: q_loss: 8.602468490600586, q_loss2: -6.977461814880371, p_loss: 1.2107194662094116, mean_rew: -0.39191225287722886, var_rew: 0.02060207724571228, lamda: 1.6510549783706665
steps: 699975, episodes: 28000, mean episode reward: -17.806609598952175, agent episode reward: [-7.786407712764616, -10.020201886187559], time: 25.623
Running avgs for agent 0: q_loss: 5841.23583984375, q_loss2: -4429.2978515625, p_loss: 0.21140563488006592, mean_rew: -0.30193313765477575, var_rew: -0.0042669144459068775, lamda: 1.6620599031448364
Running avgs for agent 1: q_loss: 8.483181953430176, q_loss2: -7.168035507202148, p_loss: 1.4112772941589355, mean_rew: -0.3921681842128387, var_rew: 0.03726956248283386, lamda: 1.6760591268539429
steps: 724975, episodes: 29000, mean episode reward: -18.234113357065056, agent episode reward: [-8.05694668366206, -10.177166673403], time: 25.13
Running avgs for agent 0: q_loss: 7156.28271484375, q_loss2: -5239.31591796875, p_loss: 0.17728662490844727, mean_rew: -0.3008054258656194, var_rew: -0.25016114115715027, lamda: 1.6870639324188232
Running avgs for agent 1: q_loss: 9.232796669006348, q_loss2: -7.660655975341797, p_loss: 1.5892847776412964, mean_rew: -0.3919636043437933, var_rew: 0.05725393071770668, lamda: 1.7010632753372192
steps: 749975, episodes: 30000, mean episode reward: -19.68292413927203, agent episode reward: [-9.649915453143652, -10.033008686128372], time: 25.061
Running avgs for agent 0: q_loss: 9412.7919921875, q_loss2: -7056.419921875, p_loss: -0.005683078896254301, mean_rew: -0.3038386620026471, var_rew: 0.08880725502967834, lamda: 1.7120680809020996
Running avgs for agent 1: q_loss: 8.321964263916016, q_loss2: -6.700317859649658, p_loss: 1.760071039199829, mean_rew: -0.3916668415938687, var_rew: 0.03778307884931564, lamda: 1.7260674238204956
steps: 774975, episodes: 31000, mean episode reward: -18.3587197990364, agent episode reward: [-8.16389277653681, -10.194827022499592], time: 25.094
Running avgs for agent 0: q_loss: 16748.328125, q_loss2: -13104.4892578125, p_loss: -0.0036338644567877054, mean_rew: -0.3063728681932487, var_rew: -0.0187489315867424, lamda: 1.7370723485946655
Running avgs for agent 1: q_loss: 8.84504508972168, q_loss2: -6.871118068695068, p_loss: 1.904389500617981, mean_rew: -0.3920906320970677, var_rew: 0.044009458273649216, lamda: 1.751071572303772
steps: 799975, episodes: 32000, mean episode reward: -22.115189708906758, agent episode reward: [-12.023886830845962, -10.091302878060793], time: 25.059
Running avgs for agent 0: q_loss: 12785.0537109375, q_loss2: -9317.0146484375, p_loss: -0.03492503613233566, mean_rew: -0.3067008225910241, var_rew: -0.24255485832691193, lamda: 1.7620763778686523
Running avgs for agent 1: q_loss: 7.545004844665527, q_loss2: -6.558642387390137, p_loss: 2.017991781234741, mean_rew: -0.39399290178420837, var_rew: 0.0357029102742672, lamda: 1.7760757207870483
steps: 824975, episodes: 33000, mean episode reward: -25.59347432874524, agent episode reward: [-15.606937195137485, -9.986537133607753], time: 25.164
Running avgs for agent 0: q_loss: 20596.951171875, q_loss2: -15316.1201171875, p_loss: -0.14226430654525757, mean_rew: -0.31607953321300114, var_rew: 0.0317913293838501, lamda: 1.7870805263519287
Running avgs for agent 1: q_loss: 7.19455099105835, q_loss2: -5.343138694763184, p_loss: 2.1151282787323, mean_rew: -0.3931679805312097, var_rew: 0.03674517571926117, lamda: 1.8010798692703247
steps: 849975, episodes: 34000, mean episode reward: -24.156733993444615, agent episode reward: [-14.51396917791699, -9.642764815527622], time: 25.016
Running avgs for agent 0: q_loss: 25421.439453125, q_loss2: -19779.1875, p_loss: 0.036796387284994125, mean_rew: -0.32429375414358425, var_rew: 0.002724194433540106, lamda: 1.8120847940444946
Running avgs for agent 1: q_loss: 10.505562782287598, q_loss2: -7.957877159118652, p_loss: 2.199528455734253, mean_rew: -0.39387223670920696, var_rew: 0.0247659794986248, lamda: 1.826084017753601
steps: 874975, episodes: 35000, mean episode reward: -21.242224744473948, agent episode reward: [-11.781281666869887, -9.460943077604059], time: 25.076
Running avgs for agent 0: q_loss: 28557.8671875, q_loss2: -20973.05859375, p_loss: -0.03536267206072807, mean_rew: -0.33004736431743514, var_rew: -0.19404366612434387, lamda: 1.8370888233184814
Running avgs for agent 1: q_loss: 8.166851043701172, q_loss2: -6.259182453155518, p_loss: 2.2455947399139404, mean_rew: -0.3932575015273532, var_rew: 0.020759986713528633, lamda: 1.8510881662368774
steps: 899975, episodes: 36000, mean episode reward: -20.699163772168234, agent episode reward: [-11.452906860941589, -9.246256911226647], time: 25.027
Running avgs for agent 0: q_loss: 30380.328125, q_loss2: -22163.9609375, p_loss: -0.06778595596551895, mean_rew: -0.33459641058105716, var_rew: -0.24043008685112, lamda: 1.8620929718017578
Running avgs for agent 1: q_loss: 10.802111625671387, q_loss2: -8.665365219116211, p_loss: 2.2744433879852295, mean_rew: -0.39286531774524597, var_rew: 0.023465972393751144, lamda: 1.8760923147201538
steps: 924975, episodes: 37000, mean episode reward: -20.012086993999493, agent episode reward: [-10.901380190319253, -9.110706803680237], time: 25.24
Running avgs for agent 0: q_loss: 35953.8359375, q_loss2: -25740.646484375, p_loss: -0.27483275532722473, mean_rew: -0.33489966949797817, var_rew: -0.3342471122741699, lamda: 1.8870972394943237
Running avgs for agent 1: q_loss: 7.19870138168335, q_loss2: -5.787306308746338, p_loss: 2.309100866317749, mean_rew: -0.3907256898758912, var_rew: 0.036106642335653305, lamda: 1.9010964632034302
steps: 949975, episodes: 38000, mean episode reward: -23.751504434052933, agent episode reward: [-13.988546410406062, -9.762958023646865], time: 25.031
Running avgs for agent 0: q_loss: 42250.12109375, q_loss2: -30097.33984375, p_loss: -0.587742030620575, mean_rew: -0.33925819387136663, var_rew: -0.25691723823547363, lamda: 1.9121012687683105
Running avgs for agent 1: q_loss: 7.255957126617432, q_loss2: -6.188736438751221, p_loss: 2.3347949981689453, mean_rew: -0.39196605168665033, var_rew: 0.04014425352215767, lamda: 1.9261006116867065
steps: 974975, episodes: 39000, mean episode reward: -25.828058823420825, agent episode reward: [-16.621279230318216, -9.206779593102612], time: 25.322
Running avgs for agent 0: q_loss: 72235.2734375, q_loss2: -53887.359375, p_loss: -0.8443377614021301, mean_rew: -0.3509988012863721, var_rew: -0.23250360786914825, lamda: 1.937105417251587
Running avgs for agent 1: q_loss: 14.052290916442871, q_loss2: -11.3074312210083, p_loss: 2.3336825370788574, mean_rew: -0.39166219545722775, var_rew: 0.04220210760831833, lamda: 1.951104760169983
steps: 999975, episodes: 40000, mean episode reward: -22.87950079153804, agent episode reward: [-13.58306117089754, -9.296439620640497], time: 25.354
Running avgs for agent 0: q_loss: 101659.5625, q_loss2: -76819.1328125, p_loss: -0.8113481402397156, mean_rew: -0.3559808694709758, var_rew: 0.37142497301101685, lamda: 1.9621095657348633
Running avgs for agent 1: q_loss: 8.698814392089844, q_loss2: -6.947269916534424, p_loss: 2.3300135135650635, mean_rew: -0.391765055577773, var_rew: 0.046971265226602554, lamda: 1.9761089086532593
steps: 1024975, episodes: 41000, mean episode reward: -22.448877776412978, agent episode reward: [-13.49017375019928, -8.958704026213699], time: 25.145
Running avgs for agent 0: q_loss: 108097.890625, q_loss2: -80023.5390625, p_loss: -0.6978678107261658, mean_rew: -0.365305607371052, var_rew: 0.010033279657363892, lamda: 1.9871137142181396
Running avgs for agent 1: q_loss: 7.456955909729004, q_loss2: -6.192142486572266, p_loss: 2.2981958389282227, mean_rew: -0.3811715309517516, var_rew: 0.044877707958221436, lamda: 2.0011086463928223
steps: 1049975, episodes: 42000, mean episode reward: -23.263661139659636, agent episode reward: [-14.843146277969112, -8.420514861690526], time: 25.471
Running avgs for agent 0: q_loss: 18493.771484375, q_loss2: -9640.98828125, p_loss: -0.6606553792953491, mean_rew: -0.37763062766862476, var_rew: 0.1807839721441269, lamda: 2.012103319168091
Running avgs for agent 1: q_loss: 5.190957069396973, q_loss2: -4.573594570159912, p_loss: 2.2768893241882324, mean_rew: -0.3653854144278284, var_rew: 0.024627692997455597, lamda: 2.0260860919952393
steps: 1074975, episodes: 43000, mean episode reward: -22.138935449826423, agent episode reward: [-14.284938227936806, -7.853997221889618], time: 25.31
Running avgs for agent 0: q_loss: 815.1276245117188, q_loss2: -527.6021728515625, p_loss: -0.4668767750263214, mean_rew: -0.3826603179384684, var_rew: 0.19195014238357544, lamda: 2.0370776653289795
Running avgs for agent 1: q_loss: 2.805429697036743, q_loss2: -2.5406405925750732, p_loss: 2.3067660331726074, mean_rew: -0.3623841155799712, var_rew: 0.04857763648033142, lamda: 2.051060438156128
steps: 1099975, episodes: 44000, mean episode reward: -19.107375673852072, agent episode reward: [-11.49471720632194, -7.612658467530127], time: 25.258
Running avgs for agent 0: q_loss: 317.44256591796875, q_loss2: -209.95265197753906, p_loss: -0.41228383779525757, mean_rew: -0.3873997086563645, var_rew: 0.046476952731609344, lamda: 2.062052011489868
Running avgs for agent 1: q_loss: 3.1726560592651367, q_loss2: -2.9123897552490234, p_loss: 2.3281314373016357, mean_rew: -0.3636360603343974, var_rew: 0.041276466101408005, lamda: 2.0760347843170166
^[[Dsteps: 1124975, episodes: 45000, mean episode reward: -17.97776069994165, agent episode reward: [-10.554690100412705, -7.423070599528948], time: 25.257
Running avgs for agent 0: q_loss: 236.72747802734375, q_loss2: -189.7284393310547, p_loss: -0.362699955701828, mean_rew: -0.3888938144406536, var_rew: 0.08555671572685242, lamda: 2.087026357650757
Running avgs for agent 1: q_loss: 3.274583578109741, q_loss2: -3.0280723571777344, p_loss: 2.3216938972473145, mean_rew: -0.3629910514026483, var_rew: 0.04513109475374222, lamda: 2.1010093688964844
steps: 1149975, episodes: 46000, mean episode reward: -17.569955662916414, agent episode reward: [-10.302422685921577, -7.267532976994838], time: 25.179
Running avgs for agent 0: q_loss: 165.28311157226562, q_loss2: -127.299560546875, p_loss: -0.3258567452430725, mean_rew: -0.3921848614026757, var_rew: 0.04905067756772041, lamda: 2.1120007038116455
Running avgs for agent 1: q_loss: 2.8577651977539062, q_loss2: -2.65999174118042, p_loss: 2.284146547317505, mean_rew: -0.36197076146095863, var_rew: 0.04007761552929878, lamda: 2.125983476638794
steps: 1174975, episodes: 47000, mean episode reward: -18.842005655559923, agent episode reward: [-11.439349021840407, -7.402656633719515], time: 25.412
Running avgs for agent 0: q_loss: 171.74339294433594, q_loss2: -139.98553466796875, p_loss: -0.35715582966804504, mean_rew: -0.39507872622324014, var_rew: 0.0851883664727211, lamda: 2.136975049972534
Running avgs for agent 1: q_loss: 3.412458658218384, q_loss2: -3.1593141555786133, p_loss: 2.234388828277588, mean_rew: -0.36154097910059274, var_rew: 0.03475658595561981, lamda: 2.1509578227996826
steps: 1199975, episodes: 48000, mean episode reward: -19.29274743827196, agent episode reward: [-12.207307798915393, -7.085439639356564], time: 25.199
Running avgs for agent 0: q_loss: 117.54188537597656, q_loss2: -98.08744049072266, p_loss: -0.2990769147872925, mean_rew: -0.3989921996889858, var_rew: 0.07033637911081314, lamda: 2.161949396133423
Running avgs for agent 1: q_loss: 3.4221765995025635, q_loss2: -3.140719175338745, p_loss: 2.1866581439971924, mean_rew: -0.360294726740506, var_rew: 0.03311612457036972, lamda: 2.1759321689605713
steps: 1224975, episodes: 49000, mean episode reward: -20.164965125372177, agent episode reward: [-12.917701926504163, -7.247263198868016], time: 24.907
Running avgs for agent 0: q_loss: 141.863037109375, q_loss2: -114.04452514648438, p_loss: -0.22923707962036133, mean_rew: -0.40486327017649065, var_rew: 0.02450922317802906, lamda: 2.1869237422943115
Running avgs for agent 1: q_loss: 3.4529638290405273, q_loss2: -3.1894497871398926, p_loss: 2.136462926864624, mean_rew: -0.35862494897167874, var_rew: 0.03880273550748825, lamda: 2.200906276702881
steps: 1249975, episodes: 50000, mean episode reward: -20.624691770380025, agent episode reward: [-13.479283148465772, -7.145408621914256], time: 24.97
Running avgs for agent 0: q_loss: 106.00089263916016, q_loss2: -88.28755950927734, p_loss: -0.19660452008247375, mean_rew: -0.4133212522862172, var_rew: 0.02302238531410694, lamda: 2.2118980884552
Running avgs for agent 1: q_loss: 3.0778393745422363, q_loss2: -2.8239550590515137, p_loss: 2.077401876449585, mean_rew: -0.3561230341790848, var_rew: 0.04536546394228935, lamda: 2.2258808612823486
steps: 1274975, episodes: 51000, mean episode reward: -20.77771878744536, agent episode reward: [-13.83539781921193, -6.94232096823343], time: 24.906
Running avgs for agent 0: q_loss: 110.20635986328125, q_loss2: -85.81868743896484, p_loss: -0.13702844083309174, mean_rew: -0.4201846772820805, var_rew: 0.06823529303073883, lamda: 2.236872673034668
